GEOID,NAME,variable,estimate,moe
53057,"Skagit County, Washington",edu_10th,859,249.02127659574467
53057,"Skagit County, Washington",edu_11th,1428,355.063829787234
53057,"Skagit County, Washington",edu_12th,1225,262.12765957446805
53057,"Skagit County, Washington",edu_hs,19416,1017.531914893617
53057,"Skagit County, Washington",edu_ged,3735,542.1276595744681
53059,"Skamania County, Washington",pop,11973,NA
53059,"Skamania County, Washington",pop_white,10902,202.5531914893617
53059,"Skamania County, Washington",pop_black,10,13.106382978723403
53059,"Skamania County, Washington",pop_native,244,109.61702127659574
53059,"Skamania County, Washington",pop_asian,133,39.31914893617021
53059,"Skamania County, Washington",pop_latinx,815,NA
53059,"Skamania County, Washington",edu_total,9048,83.40425531914893
53059,"Skamania County, Washington",edu_8th,28,34.5531914893617
53059,"Skamania County, Washington",edu_9th,30,28.595744680851062
53059,"Skamania County, Washington",edu_10th,116,85.7872340425532
53059,"Skamania County, Washington",edu_11th,205,86.97872340425532
53059,"Skamania County, Washington",edu_12th,166,71.48936170212765
53059,"Skamania County, Washington",edu_hs,2455,244.25531914893617
53059,"Skamania County, Washington",edu_ged,436,133.44680851063828
53061,"Snohomish County, Washington",pop,820024,NA
53061,"Snohomish County, Washington",pop_white,582306,2982.2978723404253
53061,"Snohomish County, Washington",pop_black,27614,1277.276595744681
53061,"Snohomish County, Washington",pop_native,7101,863.8297872340426
53061,"Snohomish County, Washington",pop_asian,95847,1846.8085106382978
53061,"Snohomish County, Washington",pop_latinx,88580,NA
53061,"Snohomish County, Washington",edu_total,572584,188.25531914893617
53061,"Snohomish County, Washington",edu_8th,2534,630.2978723404256
53061,"Snohomish County, Washington",edu_9th,4233,738.7234042553191
53061,"Snohomish County, Washington",edu_10th,5181,736.3404255319149
53061,"Snohomish County, Washington",edu_11th,5788,667.2340425531914
53061,"Snohomish County, Washington",edu_12th,10404,1006.8085106382978
53061,"Snohomish County, Washington",edu_hs,110695,3087.1489361702124
53061,"Snohomish County, Washington",edu_ged,22522,1347.5744680851062
53063,"Spokane County, Washington",pop,531477,NA
53063,"Spokane County, Washington",pop_white,455903,1628.7659574468084
53063,"Spokane County, Washington",pop_black,9606,840
53063,"Spokane County, Washington",pop_native,6167,832.8510638297872
53063,"Spokane County, Washington",pop_asian,11784,787.5744680851063
53063,"Spokane County, Washington",pop_latinx,33088,NA
53063,"Spokane County, Washington",edu_total,364983,NA
53063,"Spokane County, Washington",edu_8th,1635,393.1914893617021
53063,"Spokane County, Washington",edu_9th,2264,500.4255319148936
53063,"Spokane County, Washington",edu_10th,3515,629.1063829787233
53063,"Spokane County, Washington",edu_11th,4165,554.0425531914893
53063,"Spokane County, Washington",edu_12th,4689,657.7021276595744
53063,"Spokane County, Washington",edu_hs,67674,2324.595744680851
53063,"Spokane County, Washington",edu_ged,17001,1271.3191489361702
53065,"Stevens County, Washington",pop,46057,NA
53065,"Stevens County, Washington",pop_white,40654,401.531914893617
53065,"Stevens County, Washington",pop_black,166,119.14893617021276
53065,"Stevens County, Washington",pop_native,2259,253.78723404255317
53065,"Stevens County, Washington",pop_asian,296,92.93617021276596
53065,"Stevens County, Washington",pop_latinx,1822,NA
53065,"Stevens County, Washington",edu_total,33122,121.53191489361701
53065,"Stevens County, Washington",edu_8th,206,91.74468085106382
